content,score,label
"Ini kenapaa yaa indihome ini saya sudah bayar tapi malah di isolir saya ngadu di apk ini malah di prosess teruss blum ada respon apa apaa, tolong dong ini saya sudah bayar lohh",2,0
Pengalaman yang menarik bersama myIndihome,5,1
Aplikasinya memudahkan pelanggan buat naik pitam,1,0
Mantap,5,1
bagus,3,1
Bagus,5,1
masih bnyak bug,2,0
Internet stabil,5,1
Indihome emang boleh gitu indihome ya indihome ohh indihome alhamdulillah,1,0
KB hiook gunung Padang Cianjur Jawa Barat,5,1
Ga bisa login mau ngecek tagihan jadi ga bisa,1,0
Lelet 🙏🙏,2,0
susah log in,1,0
Karena untuk memperbaiki aja belum di lakukan sudah pengaduan tapi tidak ada tindakan soal nya membahayakan orang lain pengedara montor dan mobil apakah harus kejadian dulu biar di perbaiki,1,0
Semoga makin jaya dan lancar terus untuk koneksinya,5,1
Ok,4,1
Jaringan lemot sekali jaringan ini. Speed mesti down kalo hujan. Bahkan aplikasi ini pun lemot sekali loadingnya,1,0
"Mohon maaf nih, tapi aplikasi ini sering ""crash"" dan ini yang bilang langsung sistem dari HP saya. Jadi, sering2 update dan di fix aja sih kedepannya. Kalo misal udah konsisten dan gk sering2 ""crash"". Nanti ku ubah penilaiannya. Makasih",3,0
Lancar sesuai kebutuhan,5,1
"Dengan berat hati saya bilang kalau rugi total, aplikasi lemot jaringan apalagi lebih lemot, mahal lagi, servicenya juga lemot pokoknya aduh sampai Ndak bisa ngomong dah,",1,0
best,5,1
apk jelek bgd,1,0
point banyak tapi tidak pernah bisa ditukar dengan yang diinginkan,1,0
Gk niat ngadain undian masa tukar poin sering macet terutama poin bwt hadiah mobil gk bisa di tukar...,3,0
"Aplikasi yang paling lelet dan sering error, ampun lha pokoknya",1,0
"Meskipun mahal, tapi puas sama jaringan yang stabil, jarang banget ada ganggu",5,1
Mohon di perbaiki kualitas jaringannya ya udah kek eeq nih jaringannya,1,0
"Layanan Indihome buruk, tidak membantu sama sekali dengan aplikasi ini. Jaringan buruk, kami tetap bayar terus giliran terlambat langsung diisolir, sudah dibayar malah tetap diisolir sampai pembayaran bulan berikutnya tetap diisolir..kami bayar untuk biaya layanan buruk dari Indihome..parah",1,0
My IndiHome memang terbaik banyak fitur-fitur yang sangat membantu dan mempermudah,5,1
Lemot banget,1,0
"Sementara msh oke lah,cuma fup nya yg kadang bikin pusing",5,1
Woy aplikasi mu lemot banget... G usah buay survei segala lah... Lemot polll dan Aplikasi sering error padah gunanya cm buat lihat sudah terbayar apa blum pmbayaran... klo g gt quota intrnet tinggal brapa... guna cm itu aja sering error...🤦🤦🤦🤦,1,0
Susah betul mau lapor gangguan 👎,1,0
"Super lemoott aplikasinya.,",1,0
Aplikasi Tidak Bisa Dibuka.. tolong diperbaiki,1,0
pelayanan lelet kek jaringannya,1,0
"buat apa update kalau masih banyak bug, login sulit, fingerprint bolak balik ga guna",1,0
"Apk my indihome macet macet melulu, IT nya telkom gimana ini? Mau tukar point aja susah. Setengah ga ikhlas, wkwkwkw",1,0
"Berkat Aplikasi MyIndiHome semua aktivitas mengenai akun Indihome saya menjadi sangat mudah, baik layanan Pembayaran, laporan gangguan, penukaran Poin maupun pembelian/upgrade paket menarik yang ditawarkan. Aplikasinya selalu Update dan interface nya semakin menyenangkan. Sukses dan selalu menjadi lebih baik lagi.",5,1
"Tolonglah ini mau login gak bisa ganti password tulisannya pernah di gunakan, padahal password ngawur juga gak bisa.",1,0
TAMBAH KAN FITURE TUKAR POIN UNDIAN MASAL,1,0
Aplikasi ny lemot banget berat ..,1,0
Oc lah adanya,5,1
"aplikasinya makin burik lola banget, mau upgrade lewat aplikasi verifikasi WA gak masuk2, ga jelas banget ini apk lama2. bikin emosi aja ini apk",1,0
Trims,5,1
Mantaap indihome....pertahankan kestabilannya,5,1
Aplikasi error keluar terus makin parahhhhhhhhh.......,1,0
Oke,5,1
Memudahkan,5,1
Mantapppp,5,1
Jika ada masalah walaupun jarang tapi teknisi responnya cepat dan mslh slsi.,5,1
kenapa ini setelah updte lemot amat setiap buka loding nya lama banget,5,0
Beritahu saya untuk berhenti berlangganan,5,1
Puas menggunakan indihome👍,5,1
mantap,5,1
The best isp in Indonesia,5,1
BAGUS,5,1
"reload terus,, kode konfirmasi lambat.. apk sia-sia",1,0
Jangan ada internet mati,5,1
"Pelayanan jelek, terlalu diputar putarkan saat akan melakukan keluhan gangguan",1,0
WOI BENERIN LAH JARINGAN LO... MAU PROTES AJA APLIKASINYA AJA NGECRASH MULU.... SENGAJA ATAU GIMANA? BAYAR TIAP BULAN PERCUMA,1,0
"Memang benar aplikasi yang dikelolah BUMN selalu tidak lebih baik dari pada swasta, aplikasi tidak berjalan dengan baik",1,0
tingkat kan terus,5,1
Layanan memuaskan,5,1
Bagus,5,1
Aplikasi yg sama sekali ngga membantu buat laporan atau keluhan. Ada gangguan udh lapor tapi gak upgrade sama sekali sampe 3hari nunggu teknisi. Dari operator service juga penanganan Indihome jelek pokonya gak gercep kalo ada kerusakan lelet,1,0
banyak error bug,1,0
Puas segala layanan,5,1
"Emang boleh....tukar poin undian dapetnya zonk dan parahnya lg poin yg udah ditukar jadi voucher undian lenyap entah kmn gmn mo pakenya coba⁉️ ""KALAU NGGAK NIAT NGASIH REWARD NGGAK USAH PAKAI GIMICK² SAMPAH DEH‼️""",1,0
Makin keren aplikasi nya,5,1
Sangat membantu pada saat ngk eror tapi lebih banyak erronya,4,0
Apk lemot kaya signalnya... yang kerja pada goblog,1,0
Masukan buat Telkom tolong di perbaiki buat buka aplikasi YouTube susah banget,3,0
Istimewa,5,1
Bintang 1 karena waktu mau login gak dapat pesan SMS. Kan ada email kenapa harus lewat SMS???,1,0
Bagus,5,1
Memudahkan,5,1
mantap,5,1
"Fitur""nya simple mudah dipahami, sering ada promo juga",5,1
"Opsi ""pengaturan wifi"" ga bisa diakses Jadi ga bisa liat siapa aja yg terhubung Tolong solusinya",2,0
Mudah penggunaannya,5,1
Mantap,5,1
"saya mau ganti yang 220k kalau gak bisa mending di putus deh dari bulan kapan katanya di ganti Tapi gak di ganti"" yang jelas dunx saya merasa keberatan Anjir 330k sebulan sedangakan gue beli Kuota bertiga cuma 200k malah gak Sampe anjir Jangan lah memperbodo saya. Di komplen gak mau tapi beberapa bulan lalu manis banget bilang nya mau di ganti yang 220k gak jelas",1,0
Terimakasih indihome atas jaringannya saya bisa belajar,5,1
Makin sini makin jelek jaringan,1,0
internett stabil,5,1
Kok gak bisa masuk?,1,0
"Sekarang lemot parahh, dikit dikit loading buat install apk lama banget",1,0
Hanya saja kadang sinyalnya lelet apa lagi kalau posisi rumah saya terjepit oleh rumah tetangga yang tinggi-tinggi dan beton jaringannya kurang maksimal min Maaf ya klo bisa di prioritaskan kan pengguna ya min,3,0
Rekomendasi utk informasi satu pintu terutama akses ke sistim yg memadai baik utk buat laporan gangguan.,5,1
Aplikasi gagal lemot susah login crash,1,0
Bagus Indihome. Tp kalau hujan kadang jaringan lemot. Di perbaiki lg,5,1
Terima kasih,5,1
"Ini gw mau verifikasi email, tapi gimana kalo tiap mau verifikasi email aplikasinya keluar sendiri terus ????? Terus mau bayar langganan pasti aja ada ""Maaf kami sedang melakukan pengoptimalan"" halaah udah berapa kali kayak gitu",1,0
Pelayanan sangat cepat,5,1
"Aplikasi setiap waktu mesti msukkan verifikasi, sudah ikuti prosedur dikatakan sdh pernah pakai password sebelumnya. kan aneh sy buat baru yg betul tidk terpakai dikatakan password sudah terpakai.... ini aplikasi bukannya memudahkan justru menyusahkan",1,0
sering lelet,3,0
Bagus,5,1
Sering eror,5,0
Internet stabil,5,1
Tidak bisa masuk aplikasi,1,0
"Lengkapi dengan menu downgrade paket dong, jangan upgrade aja yg ada, biar lengkap.",2,0
"Mengecewakan sekali akhir² ini. Koneksi internet tiba² terputus untuk game. Yang awalnya tagihan tanggal 5 sudah muncul di Aplikasi, Tiba² saja tidak tertera... Ketika melakukan pembayaran memakai E-commerce ""terjadi kesalahan saat proses id."" Lupa bayar dari tanggal 5 gara² gangguan tersebut. Semalem mau bayar lagi masih tetep sama. Sekarang sudah telat 1x6 jam, otomatis terhitung denda. Maunya apa sih???",1,0
Lemot masuk susah...buk apliaksi kluwer2 ajeee,2,0
Internet Lancar jarang ada Gangguan👍👍👍,5,1
Mantap,5,1
Tidak bisa memasukkan nomor layanan indihome saya ke aplikasinya,2,0
Recommended gays,5,1
"Pelayanan sangat lambat, komplen dari hari sabtu tapi petugas ga ada yg datang kerumah sampai sekarang. Kecewa banget👹",1,0
Update malah sering force close,3,0
Oke,4,1
Mantab pelayanan prima,5,1
Kebanyakan gimmick bikin aplikasi. Mau login aja susah,1,0
Indihome si the bsst,5,1
kurang puas karena aplikasinya lambat,2,0
"Sudah sebulan, aplikasi tidak bisa dibuka, kenapa tidak ada perbaikan? Aneh, di ulasan ini kan tujuan memang untuk menyampaikan kendala dan memberikan review, tapi kenapa malah diarahkan ke platform lain",1,0
"lemot sekali aplikasinya, padahal pakai jaringannya indihome sendiri, di tambah kecepatan internetnya tidak stabil, kalah sama paket data",1,0
Sangat membantu,5,1
Bagus,5,1
ok,5,1
Very Good,5,1
"Tolong diperbaiki lagi aplikasinya masih banyak bug, loading lama sekali",1,0
"Bagus, stabil",5,1
semoga tidak sering ada gangguan.,5,1
Aplikasi nya sangat membantu. .walau versi awal banyak kekurangan dan sering error....setelah laporan gangguan langsung di tanggapi dengan cepat...teknisi pun datang walau sudah jam 6 sore...salut untuk servis indihome,4,1
Aplikasi sering terhenti,3,0
"Tolong di perbaiki lagi dong aplikasi ini, susah banget buat login nya, disuruh tarik layar ke bawah, padahal ga bisa hedeh",2,0
"Tolong diperbaiki kualitas pelayanannya. Ini di kasih tawaran naik paket ke 50 mbps. Setelah di naikkan malahan tambah lambat, tdk sampai setengah nya 25 mbps. Mana aplikasi My IndiHomenya tidak bisa dibuka",1,0
Kenapa makin kesini semakin buruk aplikasinya? Setelah di Update kok semakin buruk? Di buka cuma muter² aja sempakk!!!,1,0
"Sangat baik pelayanannya, segala.ditail riwayat tercantum secara akurat. Biasanya, setelah bayar enggak tau apakah sudah terkonfirmasi atau tidak. Kini saya tahu San tidak merasa was was lagi",5,1
"Suka banget pake apk ini, aman dan lebih mudah. Semoga terus lancar yaa🥰🥰🥰",5,1
Keren,5,1
Top,4,1
kwalitas bagus...namun ketika terlambat bayar...begitu selesai bayar koneksi tdk bisa langsung..,5,1
"Sinyal ANCUURRR.... Sudah banyak yg mengeluhkan, namun masih saja tidak dianggap.",1,0
Ka tolong sistem respon nya d cepetin Saya daftar nya ke double karena keterlambatan sistem Mengirim pendaftarannya Memakai KTP yg sama lagi Yang 1 daftar d web indihome Yang 1 daftar d egent terdekat ke double jdinya,3,0
Jaringan ok,5,1
Ok,4,1
Respon cepat,5,1
Memuaskan,5,1
gmn caranya masuk.. stuck di halaman ketik email/no hp.. jawaban apaan ini hancur..,1,0
Sip dah,4,1
Jos,5,1
"Aplikasi paling tidak ada fungsi, mau cek tagihan , riwayat tagihan tapi gak ada, malah di alihkan ke pembelian paket.",1,0
Mantap jaringannya....,5,1
Koneksi lancar & stabil,5,1
ok,5,1
Cepat internet nya sangat baik,5,1
Bagus,5,1
"Aplikasi berat bgt bro, kek aplikasi apa aja. Baru di buka Loading nya nya gak kelar2, kalah kali Loading nya mobile legends. Gw pake device huawei nova 5t. Tolong perbaiki. Aplikasi gini aja berat amat. Mau buka juga males broo. Jadi gak guna lo buat aplikasi",1,0
"Aplikasi nya parah lemot amat, mau pak internet speed tinggi sama aja sering gagal tukar poin",1,0
"Terimakasih aplikasinya sangat membantu sekalii,saya suka dengan aplikasi nyaa",5,1
good,5,1
Sangat berguna sekali,5,1
Mantap,5,1
Mantap,5,1
Jaringan stabil,5,1
"Ini aplikasi makin sini makin lag parah, mau bayar juga susah update bukannya bagus malah kacau",1,0
"Tolong perbaiki fitur selfcare dan speed test yang error! Selain itu, dibagian Tagihan Internet tertulis ""Terbayar (Rp.0)"" dan bertanda ceklist hijau padahal saya belum melakukan pembayaran!",1,0
Sangat memuaskan,5,1
Siap..mantap,5,1
Cepat tepat sigap,5,1
Penyelesaian masalah yg cepat dan tanggap..pertahankan,5,1
"Aplikasi Myindihome Loading terus, tiap mau laporan gangguan selalu ada notif ""Mohon maaf kami sedang melakukan peningkatan layanan""... Tolong perbaiki aplikasi tingkatkan layanan... Bayar elit aplikasi sulit....",2,0
Speednya di perbaiki dong.. Mau laporan lewat aplikasi gak bisa.. Sudah mencoba sabar selama seminggu ini.. Mana kerja butuh internet speed kenceng.,1,0
Selama 12 bulan ini lancar stabil jaringan oke Pelayanan bagus Saya pindah alamat wifi juga prosesnya cepet Dari saya sih aman,4,1
"Kenapa saya tidak bisa masuk aplikasi indihome, saya berlangganan sudah sejak 5thn yg lalu",2,0
Good app👍🏼👍🏼🤩,5,1
Semoga lebih bagus lagi,5,1
"Mau tuker poin susah banget deh,aplikasinya eror terus",1,0
"Di buka kok loading terus iya,lama sekali nunggu utk bisa ke menu",1,0
Oke sekarang kita sudah bergabung dan berlangganan di Indihome ini muda-mudahan Indihome selalu yang terbaik dan bisa membantu orang didesa terpencil,5,1
"Pelayanannya cukup bagus, kecepatan sesuai paket menurutku, pernah upgrade, pernah jga downgrade jadi sedikit tau kelebihan/kekurangannya, tapi saranku cuma di app MyIndiHome nya, pernah ngalamin lose app, mksudnya keluar app mau masuk lagi ga bisa, bikin sandi Baru terus lose app masuk lgi ga bsa lagi, akhirnya sering ngub admin app buat minta perbaikan, jadi harp di tingkatin mungkin masalah server, atau sering crash data app ga tau lah, tapi peribadi puas ko buat pelayanannya.",5,1
Good,5,1
"Berulang kali saya mau masuk aplikasi gak bisa².. bbrp kali saya uninstal dan instal ulang tetep gak bisa masuk, dan mau bikin ulang kata sandi pun gak bisa daftar lagi 😪",5,0
"Tingkatkan kembali pelayanan, agar upgrade pergantian paket dipermudah secara online",4,0
Sudah verivikasi masuk balik ke awal lagi.,1,0
Sangat baik,5,1
"Aplikasi bapuk,sering log out sendiri",1,0
Bagus. Supaya tidak muncul lagi pemberitahuan ini,5,1
Alhamdulillah lancar,5,1
sangat puas pakai layanan internet di rumah dengan jaringan IndiHome 👍🏻👍🏻,5,1
Info cepat,5,1
indihome memang mantap,5,1
"tidak bisa menukar point, aplikasi lemot",2,0
Internet baik,5,1
masih yg terbaik,5,1
Tampilanya menarik,5,1
Ok,5,1
Bagus,5,1
"Sumpah nyesel banget pasang indihome yg 100 mbps, kirain bakal kenceng jaringan internet nya, ternyata salah padahal dirumah cuma 4 orang yg menggunakan, setiap bulan harus bayar 400 lebih, buat yang mau pasang indihome pikir² dulu lah sebelum menyesal, kontrak setahun klo mau berhenti belum setahun denda 1 juta bulset dah",1,0
"Semoga terus ditingkatkan, karena beberapa kali masih mengalami lag saat membuka aplikasi",4,0
Ini call center 24/7 tapi ngga ada yg respon sekali,1,0
"Masukan untuk MyIndiHome, mohon warna putih pada bagian atas, diganti dengan warna gelap, krn tulisan nya tidak terbaca krn huruf nya pun berwarna putih.. Gimana mau membaca nya?.... Atau Font nya pakai warna hitam atau warna gelap..... Krn saya kesulitan membaca nya... Masak iya warna backgroundnya putih.. Tulisan putih???",2,0
Okeh good...,5,1
"Ga beres, lemot nya luar biasa. Mau bayar tagihan aja lemot nya luar biasa. Hedehhhh",1,0
Jeleg Banget Anyinghh,1,0
Ok,4,1
bayar TEPAT tapi internet LAMBAT!!,1,0
"Aplikasi super lemot, mau pakai poin buat ditukar ke voucher malah error, sekelas indihome mohon beri pelayanan yg lbh baik",1,0
"aplikasi sampah, gk ada kemajuan sama sekali sampaahhh anjenkkkkk",1,0
"Mau masuk aja susah,",1,0
Nyaman,5,1
"Lanjutkan yg sdh baik, jangan buru-buru putus koneksi internet, kalau telat bayar tgl 20, kasih waktu beberapa hari internet tetap aktif",5,1
mudah di akses...,5,1
Setiap mau lapor. Beratx minta ampun. Salahnya di mana.alasan selalu. Layanan sedang diperbaiki. setiap update wow. Semoga ada solusinya.saat lapor.,1,0
Tolong update terbaca ada bug sehingga aplikasi tidak bisa di buka,1,0
Mantap,5,1
Sangat bagus,5,1
Ndk ngebantu sama sekali,1,0
"aplikasinya error, setelah update malah force close terus. tolong segera perbaiki.",1,0
Mantap,5,1
indihome keren,5,1
Masih ada bug,4,0
Mantap 👍,5,1
"Mantap, feedback di respon.",5,1
"Semoga menjadi amanah bukan karena bisnis semata, pelanggan adalah mitra, tanpa pelanggang tidak akan menjadi hasil yang lebih..,....., @salamhangat🤗",5,1
sangat baik,5,1
pelayanan sangat cepat,5,1
apk yang baru tidak bisa dibuka..,1,0
Indihome mantap,5,1
Susah login udah 1bulan. Gaguna download dan update!!,1,0
Indiehome saya harap bs cari solusi kenapa saya gagal login game fortnite...kalo emang lg dikunci ya dibuka to.....,1,0
Puas,4,1
IndiHome Ok,5,1
is the best,5,1
"Indihome napa makin lelet jaringan nya , aplikasi nya indihome juga sulit dibuka Sekelas se nusantara jangkauan nya tapi internet dan apk nya sulit hadehh",2,0
Mantap,5,1
Lemot parah,1,0
cara cek tagihan dll gmana sih.,1,0
"Pemasangannya cepat, terima kasih indihome",5,1
App sangat Baik sekali,5,1
Saya sebagai pengguna merasa sangat senang sekali,5,1
Buruk,1,0
Internetnya stabil,5,1
"App apaan ni buffering mulu, sinyal bagus gabisa dibuka. Mau pengaduan jadinya gabisa",1,0
Jaringan sangat kacau hanya di pake 2 orang saja ngelag bngt padahal cuma di pake WA saja tidak bisa semoga langsung di perbaiki,1,0
Aplikasinya bagus banget buruann download aplikasinya...,5,1
"SINYAL BENERIN GBLOOOOK, BAYAR PERBULAN 400 KALO SINYAL BURIK RUGI TOLOLLL",1,0
Indhihome sangat membantu saya dlm kebutuhan internet,5,1
Setelah update malah ga bisa masuk .respon pelanggang juga di abaikan .klu nagihnya malah cepet cepet. payah nih .malah makin g ada peningkatannya,3,0
Sangat membantu,5,1
sering lost indihome,1,0
Ok,5,1
Terbaik,5,1
Aplikasi nya sangat mengecewakan.. Sering gangguan aplikasi nya gk bisa ke buka,1,0
Alkhmdllh indihome skrng sudah mulai membaik,5,1
"susah banget untuk login,slalu coba mlu.STB saya rusak mau bikin laporan aja susah banget",1,0
Bagus,4,1
bulan ini tidak bisa masuk IndiHome walaupun sudah mengikuti petunjuk🙏,5,0
bug saat mau verifikasi email pasti force close,1,0
Tdk bisa melakukan pengaduan online dengan alasan sistem dalam peningkatan...preeet.,1,0
Sangat puas,5,1
Mantappp,5,1
Mohon di perbaiki masalah mau buka aplikasi terlalu lama buffering nya.Tks,5,0
mantap,5,1
"Mau berenti aja ribetnya minta ampun, ga kaya pasangnya aja buru2. & sttop layanan di hitung full 2 bulan padahal hanya kepakai 1 bulan, 1 bulannya lg HARUS BAYAR. TOP LAH INDIHOME BERALIH KE LAIN AJA UDH MAHAL PULA",1,0
mantap,5,1
Oke,3,1
Aplikasinya bagus,4,1
Good,5,1
Sangat membantu,5,1
"Luar biasa apresiasi yg diberikan, semula saya berlangganan 10 Mbps, berikutnya ada reward dinaikkan kecepatannya menjadi 20 Mbps tanpa tambahan biaya langganan. Semoga IndiHome ke depan tetap selalu suksus dalam melayani pelanggannya. Mantul!!",5,1
Mantap,5,1
Sulit untuk upgrade ke 100 Mbps..,1,0
Internet ngeleg,1,0
OK,5,1
Susah tidak bisa di gunakan sering keluar tidak bisa masuk lagi,1,0
tagihan gak jelas,1,0
"semoga kedepannya jaringan stabil tidak lelet, sehingga memudahkan dalam proses pekerjaan kami. dan di berikan fasilitas gratis",5,0
cukup baik,5,1
Point saya mau dikemanakan? Point 67Rb tidak bisa redeem karena tidak muncul pilihan hadiah...apa nunggu hangus?,1,0
Habis update tidak bisa di buka. Pdhl indihome lohhhhh,1,0
Respon cepat dan baik,5,1
"Aplikasinya jelek banget sumpah. Sinyalnya yg ngeleg, ngebuka aplikasinya aja gak sanggup, terus2an login ga jelas. Tolong lah yg niat buat aplikasi.",1,0
Kereeen sih aplikasinya,5,1
"Aplikasi kek taii.. login aja gak bisaa.. keterangan ""muat kembali sesi telah berakhir"" mending gak usah buat aplikasi sekalian",1,0
Internet stabil kalau adaasalah respon cepat,5,1
"Makin hari, makin lambat...😴",3,0
mantap,5,1
Aplikasi yang mudah di gunakan,5,1
"Baru sekarang hilang sinyal, kirain harus ribet telepon atau email ke pihak IndiHome, ternyata cuma lewat apk ini bisa menyampaikan kendalanya. Ga lama dihubungi langsung sama teknisinya, ga berapa lama dateng dan langsung diberes kendalanya. Thx ini berguna ternyata",5,1
Kecepatan sesuai paket,5,1
Masih suka ngelagh,4,0
Sangat baik,5,1
Aplikasinya sering ngelaggg,4,0
Ok,5,1
Ok,5,1
Aplikasi nya sekarang lambat susah dibuka nya,3,0
Semua nya bagus,5,1
Bagus,5,1
"Pelayanan buruk... main upgrade sesukanya tanpa konfirmasi sama pelangannya, mau di downgrade alasannya muter muter. Sekarang sdh dapat yang lebih baik dari indihome harga paket juga lebih murah",1,0
Kadang internet gangguan,3,0
"Kalian ini kenapa si? Bolak balik saya buka aplikasi, Selalu lemot.. Apa tidak bisa di bagusin aplikasinya supaya tidak lemot.. Tolong dong kerjasamanya Saya bayar tiap bulan. Dan seharusnya kalian juga kasih yg terbaik dong untuk pelanggan kalian Bintang akan saya perbarui jikalau aplikasi sudah tidak lemot Terima kasih",1,0
"Udah instal di 3 hp, tp semuanya crash, ga bs dibuka... ada solusi?",1,0
Layanan perbaikan keluhan pelanggan 4 jempol untuk 1 jam eksekusi dan layanan dipertahankan,4,1
Tidak bisa login. Dan jika sudah login selalu logout sendiri.,1,0
Sangat membantu,4,1
Tolong diperbaiki lagi masa mau masuk keluar lagi.. selalu begitu terus..,1,0
Sangat menyenangkan setelah menggunakan indihome 1 tahum,4,1
"Mau laporan gangguan kok susah masuk ya,semoga layanan ditingkatkan lagi",2,0
Bagus cuman harga paketnya mohon di turunkan,3,0
Jaringan kurang stabil,4,0
Cepat tanggap.. Cuman dari pihak lapangan aja suka lelet,5,1
Gimana nih jaringan sering lambat mending pidan ke sebelah,3,0
Oke Banget Indihome,4,1
Membantu,5,1
sering lelet jaringan nya.mohon di perhatikan layanan,3,0
Bagus,5,1
Sering update aplikasi setiap kali mau pembayaran musti update dulu,1,0
Jaringannya bagus dan stabil.. Thanks my indihome,5,1
Aplikasinya kok tidak bisa buat aduan ya ?,1,0
Cukup baik di area saya tinggam,4,1
"Pelayanan buruk. Saya tidak pakai 2 bulan tetap ditagih biaya yg sama. Tambah denda. Padahal sudah diisolir 2 bln. Hari ini saya membayar tagihan atas layanan yg tidak pernah saya pakai. Tidak diberi penjelasan dari awal pasang. Saya mau cabut layanan tidak pakai Indihome dipersulit, biar cuan kan? Padahal ketika pasang mudah. Kecewa.. mau ganti citranet sesuai saran rekan",1,0
Internet stabil dan lancar....,5,1
Wifi nya tidak dapat bekerja tolong diperbaiki saya sudah berlangganan lo,1,0
Oke dehc,4,1
Cukup baik ..,4,1
Habis update ko ga bisa log in?aplikasi g guna..,1,0
Beda sama provaider lain indihome selalu memberikan pelayanan yg sangat luarbiasa jarang ada kendala sinyal sangat bagus pertahankan trus agar di percaya oleh semua pelanggan nya,5,1
Keren,5,1
Indihome memang mantapp. terima kasih indihome,5,1
kadang susah login,2,0
Sering crash. Mohon diperbaiki,3,0
Mantaaaaap,5,1
Warbiasa,5,1
"Kami sudah bertahun memakai indihome, hanya pelayanan pemindahan wifi ke rumah baru yang berjarak beberapa meter saja sudah hampir 2 minggu juga tidak dikerjakan. Sementara pembayaran berjalan terus. Pembuatan wifi baru bisa segera dikerjakan tapi pelanggan lama justru dikecewakan. Kecewa dengan pelayanan indihome ditempat kami. Mengajukan pengaduan lewat Myindihome infonya sudah diselesaikan padahal dikerjakan saja belum. Sangat percuma dan mengecewakan.",1,0
Oke telkom,4,1
Good application for internet wifi,4,1
Pelayanan bagus dan cepat,5,1
"aplikasi sama sinyal internet sama2 di luar nurul,gak habis fikri lemotnya",1,0
Bagus,5,1
Mantaaaaaappppppp....,5,1
Mantap,5,1
Siip,5,1
bagussssssss,5,1
"Aplikasi yg sangat membantu untuk para pelanggan setia Indihome, karena dg aplikasi ini kita dapat menggunakan untuk keperluan yg terkait dg internet IndiHome, seperti addon atau penambahan perangkat, upgrade speed dan juga layanan untuk pengaduan apabila terjadi gangguan yg terkait masalah internet di rumah kita, dan masih banyak juga fitur-fitur yg dapat kita gunakan sesuai dengan kebutuhan pemakaian, terus berkarya dan kembangkan terus aplikasinya, terima kasih MYINDIHOME... 🙏🙏🙏",5,1
"Simpel , jaringannya stabil mudah dan efisien",5,1
"Indihome pelayanan nya terbaik. Respon cepat terhadap gangguan, dan selalu uptodate",5,1
solusi internet lemah,4,1
"Pengaturan lokasinya ko aneh banget Ngeklik kecamatan nggak bisa, mau lanjut nggak bisa juga",1,0
Puas,5,1
Mantab... makin mudah untuk melihat promo2 menarik dari indihome...,5,1
Cukup bintang mewakili,5,1
Pokonya indihome is the best👍👍👍,5,1
