content,score,label,preprocessed_content,at,prediction,predicted_label
Suruh ganti password tapi masukin password yg beda jauh dari awal katanya malah paßsword pernah digunakan. Mau login aja bikin pusing. Not user friendly banget,2,0,suruh ganti password tapi pasuk password yang beda jauh dari awal kata malah pasword pernah guna mau login saja bikin pusing not user friendly banget,10/10/2023,0.005391398,0
my indihom mantap,4,1,my indihom mantap,31/01/2024,0.99742025,1
Lumayan,4,1,lumayan,06/12/2023,0.9929438,1
Sinyal bagus,5,1,sinyal bagus,18/01/2024,0.9780794,1
good,5,1,good,28/10/2023,0.9959047,1
Semoga menjadi lebih baik,5,1,moga jadi lebih baik,17/12/2023,0.9991293,1
packet lossnya benerin dulu lah 3 tempat paclet loss semua wkwkkw,1,0,packet lossnya benerin dulu lah tempat paclet los semua wkwkkw,29/12/2023,0.007825298,0
Nah udah ga FC lagi.mantappppp,5,1,nah sudah enggak fc lagi mantap,27/11/2023,0.9804544,1
Kok ngak bisa dibuka lagi aplikasi nya,4,0,kok enggak bisa buka lagi aplikasi nya,23/11/2023,0.010222328,0
jaringan bagus sekali,5,1,jaring bagus sekali,17/02/2024,0.97946614,1
"Tambah lama Indihome ni tambah parah minta ampun susah nya, ganti password wifi kita sendiri aja susah disuruh beli add on dulu. Lapor ke pelayanan banyak pula persyaratan nya. Udah lemot sering gangguan prosedur pelayanan ribet pula lagi. Bikin jengkel!! Jadi u apa dibuat aplikasi ini kalau ujung2ny ke Plasa juga supaya jelas!",1,0,tambah lama indihome nih tambah parah minta ampun susah nya ganti password wifi kita sendiri saja susah suruh beli ada on dulu lapor ke layan banyak pula syarat nya sudah lemot sering ganggu prosedur layan ribet pula lagi bikin jengkel jadi lu apa buat aplikasi ini kalau ujungny ke plasa juga supaya jelas ,23/01/2024,0.000757418,0
Mantap,4,1,mantap,20/01/2024,0.9967573,1
tiap bulan selalu ada 1 hari dimana tiba2 speed wifi turun drastis. nunggu di telpon baru di fix. itupun ngga langsung di fix pake nunggu lama. kecewa berat. cukup setahun aja pake indihome. abis kontrak pindah ke wifi ungu,1,0,tiap bulan selalu ada hari mana tiba speed wifi turun drastis tunggu di telpon baru di fix itu enggak langsung di fix pakai tunggu lama kecewa berat cukup tahun saja pakai indihome habis kontrak pindah ke wifi ungu,15/01/2024,0.000694301,0
Aplikasinya lelet,2,0,aplikasi lelet,20/12/2023,0.02427272,0
Cukup baik apk nya,4,1,cukup baik apk nya,17/01/2024,0.9500414,1
Klo mendung suka lemot,4,0,kalo mendung suka lemot,20/02/2024,0.012820822,0
agak lenot,4,0,agak lenot,07/12/2023,0.3460833,0
Sangat memuaskan,5,1,sangat muas,11/01/2024,0.9965918,1
Apakah aplikasi myindihome ada bug?karena susah aksesnya,3,0,apakah aplikasi myindihome ada bug karena susah akses,03/11/2023,0.022446824,0
Sulit untuk upgrade ke 100 Mbps..,1,0,sulit untuk upgrade ke mbps ,07/02/2024,0.067256056,0
Respos teknisi cepat,5,1,respos teknisi cepat,21/10/2023,0.98903745,1
Indiehome pelayanannya buruk,1,0,indiehome layan buruk,25/12/2023,0.00957889,0
"Mempermudah pengguna indihome, banyak penawaran dan promo, tukar poin mudah, dan paling saya suka menu bantuan. Ketika ada kendala langsung ditangani dengan cepat. Tks myindihome.",5,1,mudah guna indihome banyak tawar dan promo tukar poin mudah dan paling saya suka menu bantu ketika ada kendala langsung tangan dengan cepat tks myindihome ,24/09/2023,0.9986097,1
Info gak realtime untuk pembayaran.. jadi kadang sudah bayar tapi keterangannya belum bayar di app ini,2,0,info enggak realtime untuk bayar jadi kadang sudah bayar tapi terang belum bayar di ap ini,09/12/2023,0.021597192,0
Masih ada beberapa yg harus diperbaiki terutama dlm hal bug nya. Terima kasih,4,1,masih ada beberapa yang harus baik utama dalam hal bug nya terima kasih,21/01/2024,0.9246815,1
Setiap ada keluhan tidak pernah di respon,1,0,tiap ada keluh tidak pernah di respon,11/01/2024,0.5823736,1
Good and nice,5,1,good and nice,11/11/2023,0.99961615,1
Good job,5,1,good job,18/12/2023,0.9990278,1
Proses perbaikan gangguan hanya melalui aplikasi selesai dan nerea,5,1,proses baik ganggu hanya lalu aplikasi selesai dan nerea,20/02/2024,0.9901424,1
Sudah bayar tidak bisa dipkai,1,0,sudah bayar tidak bisa dipkai,20/12/2023,0.033508655,0
"Mantap,jaringannya stabil",5,1,mantap jaring stabil,28/11/2023,0.9988992,1
Aplikasi macet setelah update,2,0,aplikasi macet telah update,25/11/2023,0.28860143,0
Bagus,5,1,bagus,11/10/2023,0.9971563,1
I Like,5,1,i like,22/11/2023,0.9844001,1
Oke gassss,5,1,oke gas,05/02/2024,0.99798566,1
Ga wifi ga aplikasi ga jelas semuanya. Udh bayar juga msh lemot juga pepek.,1,0,enggak wifi enggak aplikasi enggak jelas semua sudah bayar juga masih lemot juga pepek ,20/02/2024,0.003210705,0
Keren,5,1,keren,20/02/2024,0.99530053,1
"Baru sekarang hilang sinyal, kirain harus ribet telepon atau email ke pihak IndiHome, ternyata cuma lewat apk ini bisa menyampaikan kendalanya. Ga lama dihubungi langsung sama teknisinya, ga berapa lama dateng dan langsung diberes kendalanya. Thx ini berguna ternyata",5,1,baru sekarang hilang sinyal ira harus ribet telepon atau email ke pihak indihome nyata cuma lewat apk ini bisa sampai kendala enggak lama hubung langsung sama teknisi enggak berapa lama datang dan langsung beres kendala thx ini guna nyata,05/01/2024,0.006503345,0
Top,5,1,top,01/11/2023,0.99201924,1
Mantap,5,1,mantap,24/01/2024,0.9967573,1
Ok,5,1,ok,07/01/2024,0.9959974,1
"SAYA SUDAH BAYAR DAN SALDO SUDAH TERPOTONG TAPI MASIH TERTULIS BELUM DIBAYAR DI APLIKASI BUTUT INI, UDAH LAPOR CS MALAH SURUH BAYAR LAGI, YA RUGI DONG SAYA",1,0,saya sudah bayar dan saldo sudah potong tapi masih tulis belum bayar di aplikasi butut ini sudah lapor cs malah suruh bayar lagi ya rugi dong saya,21/11/2023,0.008800471,0
Aplikaainya lola banget tapi pelayanan internet yang diberi IndiHome memang nggak ada lawan Best Banget Pokoknya..!,5,1,aplikaainya lola banget tapi layan internet yang beri indihome memang enggak ada lawan best banget pokok ,02/11/2023,0.90283525,1
Thanks you Indihome,5,1,thanks you indihome,22/09/2023,0.97738546,1
Amanah...menjaga kualitas...terus semangat,5,1,amanah jaga kualitas terus semangat,24/11/2023,0.97267234,1
Pelayanan dan internet cepat tidak lemot .... terima kasih Indihome,5,1,layan dan internet cepat tidak lemot terima kasih indihome,13/12/2023,0.9769908,1
Gak usah buka perusahaan jaringannya dableg baru make3 bulan jaringan kaya setan,1,0,enggak usah buka usaha jaring dableg baru pakai bulan jaring kayak setan,09/02/2024,0.007404944,0
"Dibuka sulit, kemasan aplikasinye jelek, tidak rekomendasi...",1,0,buka sulit kemas aplikasinye jelek tidak rekomendasi ,15/01/2024,0.001063906,0
Lemot sekali aplikasinya,1,0,lemot sekali aplikasi,19/12/2023,0.008563195,0
Udah langganan bertahun² tiap lapor haris pake pulsa biasa.APK susah di akses,2,0,sudah langgan tahun tiap lapor haris pakai pulsa biasa apk susah di akses,06/12/2023,0.03626137,0
Gmana cara tukerin point vouchernys? Kalo ga habis ya erorrr aplikasinya dari dulu ga ada perkembangannya loh .,1,0,bagaimana cara tukerin point vouchernys kalo enggak habis ya eror aplikasi dari dulu enggak ada kembang loh ,21/11/2023,0.002183568,0
Perangkat yang di 4 TIDAK SESUAI DENGAN YANG DI TULIS DALAM APLIKASI INDIHOME.. Indihome JANGAN SOK TAU + JANGAN ASAL NULIS yang sebenarnya tidak terjadi Untuk jatah Reward yang sudah habis jangan di pajang Makin hari jaringan internet semakin tambah lama + tidak sesuai promosi Customer service memalukan mengecewakan tidak memuaskan,1,0,perangkat yang di tidak sesuai dengan yang di tulis dalam aplikasi indihome indihome jangan sok tau  jangan asal tulis yang benar tidak jadi untuk jatah reward yang sudah habis jangan di pajang makin hari jaring internet makin tambah lama  tidak sesuai promosi customer service malu kecewa tidak muas,22/10/2023,0.003400451,0
"Gabisa login aplikasi pakai email sama nomor telp di aplikasinya. Selalu gagal, payah",1,0,enggak bisa login aplikasi pakai email sama nomor telp di aplikasi selalu gagal payah,03/01/2024,0.001352605,0
Mantap jaringan y Cuma untuk minta perbaikan atau pengngaduan udah nga bisa di gaperi IndiHome harus lewat wa... Jari agak susah info perbaikan / agret y..,5,1,mantap jaring ya cuma untuk minta baik atau pengngaduan sudah enggak bisa di gaperi indihome harus lewat wa jari agak susah info baik  agret ya ,24/01/2024,0.9939543,1
Internet stabil dan mudah diakses,5,1,internet stabil dan mudah akses,11/11/2023,0.99892133,1
Good,5,1,good,26/11/2023,0.9959047,1
Mantap,5,1,mantap,03/10/2023,0.9967573,1
Sampai sekarang oke okeh saja,5,1,sampai sekarang oke okeh saja,17/11/2023,0.9939816,1
Kenapa tidak ada ffitur pengaduan jaringan,1,0,kenapa tidak ada ffitur adu jaring,26/01/2024,0.009495432,0
Aplikasinya lemot banget,3,0,aplikasi lemot banget,04/10/2023,0.01654821,0
"sejauh ini aplikasinya bagus, laporan di terima dengan baik dan cepat",5,1,jauh ini aplikasi bagus lapor di terima dengan baik dan cepat,27/10/2023,0.9989707,1
bagus,5,1,bagus,16/12/2023,0.9971563,1
Perlu ditingkatkan dan dikembangkan lagi,5,1,perlu tingkat dan kembang lagi,21/02/2024,0.9844802,1
masuk suka ngelek lodingnya lama,3,0,masuk suka ngelek lodingnya lama,04/02/2024,0.035128187,0
"Aplikasi tambah membingungkan, krna kadang tambahkan nomor indihome langsung holang sja",1,0,aplikasi tambah bingung karena kadang tambah nomor indihome langsung holang saja,26/12/2023,0.1366956,0
Saya suka pakek indihome internet stabil,5,1,saya suka pakai indihome internet stabil,11/10/2023,0.98969114,1
"Apk apa neh..masuk z Ega bisa.. Kemaren bisa z, timbul mau masuk minta kata sandi baru.. Sdh bikin kata sandi batu tetap z Ega bisa masuk²..",1,0,apk apa nih masuk saja ega bisa kemarin bisa saja timbul mau masuk minta kata sandi baru sudah bikin kata sandi batu tetap saja ega bisa masuk ,18/10/2023,0.00078391,0
Best,4,1,best,26/10/2023,0.9929785,1
"pas 1tahun saya gunakan indihome ,lahamdulilah dapat 1 bulan bonus lagi,,Terima kasih indihome,makin maju dan lancar",5,1,pas tahun saya guna indihome lahamdulilah dapat bulan bonus lagi terima kasih indihome makin maju dan lancar,19/01/2024,0.92905957,1
"Apk eror. Gimana bisa melihat jumlah pemakaian.atqu melapor.mohon kedepnya lebih di maksimalkan. Hp yg di gunakan ram 4/8 GK kebuka"" nih apk.pembayaran GK ad turun"" penawaran pelanggan lama. Sekira GK dikasih harga murah. Coba pelayanan bagus atau pun jarang sering gangguan mendadak. Lebih baik lah. Sebelum ada pesaing",1,0,apk eror bagaimana bisa lihat jumlah pakai atqu lapor mohon kedepnya lebih di maksimal hp yang di guna ram  enggak buka nih apk bayar enggak ada turun tawar langgan lama sekira enggak kasih harga murah coba layan bagus atau pun jarang sering ganggu dadak lebih baik lah belum ada saing,20/10/2023,0.001408542,0
Gooooood,5,1,gooooood,17/11/2023,0.9621868,1
"Jaringan nya gak stabil, lebih sering gak stabil nya dripada normal nya",1,0,jaring nya enggak stabil lebih sering enggak stabil nya daripada normal nya,02/12/2023,0.2918021,0
Kenapa ga bisa di buka alesan nya server gangguan terus,5,0,kenapa enggak bisa di buka alesan nya server ganggu terus,22/09/2023,0.004234659,0
Makin lama jaringan lemot,1,0,makin lama jaring lemot,26/12/2023,0.01788342,0
Aplikasi tidak bisa buka langsung mental keluar sendiri sebelum di liris cek dulu jangan gegabah wk wk wk,1,0,aplikasi tidak bisa buka langsung mental keluar sendiri belum di liris cek dulu jangan gegabah waktu waktu waktu,25/11/2023,0.001257432,0
Harga paket terjangkau dan kualitas terjamin,5,1,harga paket jangkau dan kualitas jamin,28/01/2024,0.99416643,1
"Saya tinggal di Malang. Berlangganan sejak 2005 (dulu speedy). Kwalitas indihome di rumah saya sangat bagus tidak pernah gangguan, speed mantab. Saya rekomendasikan gunakan INDIHOME milik Indonesia. Pelayanan via CS juga sgt ramah, sgt komunikatif. Terimakasih banyak.",5,1,saya tinggal di malang langgan sejak dulu speedy kwalitas indihome di rumah saya sangat bagus tidak pernah ganggu speed mantab saya rekomendasi guna indihome milik indonesia layan via cs juga sangat ramah sangat komunikatif terimakasih banyak ,18/01/2024,0.98960096,1
"Di buka kok loading terus iya,lama sekali nunggu utk bisa ke menu",1,0,di buka kok loading terus iya lama sekali tunggu untuk bisa ke menu,03/01/2024,0.00222918,0
"Paling Stabil, enak nyaman",5,1,paling stabil enak nyaman,09/02/2024,0.9901629,1
Baik,4,1,baik,04/01/2024,0.98237866,1
Mantap.. quick respon,5,1,mantap quick respon,13/10/2023,0.9980146,1
Gila,1,0,gila,10/10/2023,0.6600289,1
"Aplikasi yang menurut saya kurang berguna. Karna dari dulu aplikasi ini sepertinya dibuat dengan tidak niat, banyak fitur yang dari dulu ada tapi begitu di klik selalu saja sedang meningkatkan sistem. Dan notif seperti itu bertahun-tahun wkwkwk . Payah",1,0,aplikasi yang turut saya kurang guna karena dari dulu aplikasi ini seperti buat dengan tidak niat banyak fitur yang dari dulu ada tapi begitu di klik selalu saja sedang tingkat sistem dan notif seperti itu tahun tahun wkwkwk payah,19/10/2023,0.003299802,0
Gmn ini gak bisa di buka,1,0,bagaimana ini enggak bisa di buka,23/11/2023,0.018963594,0
Kualitas aplikasi sangat buruk. Penukaran poin selalu gagal dan selalu ada bug. Mohon prioritaskan perbaikan dari segi teknikal aplikasi,1,0,kualitas aplikasi sangat buruk tukar poin selalu gagal dan selalu ada bug mohon prioritas baik dari segi teknikal aplikasi,15/11/2023,0.001238512,0
"Masukan untuk MyIndiHome, mohon warna putih pada bagian atas, diganti dengan warna gelap, krn tulisan nya tidak terbaca krn huruf nya pun berwarna putih.. Gimana mau membaca nya?.... Atau Font nya pakai warna hitam atau warna gelap..... Krn saya kesulitan membaca nya... Masak iya warna backgroundnya putih.. Tulisan putih???",2,0,masuk untuk myindihome mohon warna putih pada bagi atas ganti dengan warna gelap karena tulis nya tidak baca karena huruf nya pun warna putih bagaimana mau baca nya atau font nya pakai warna hitam atau warna gelap karena saya sulit baca nya masak iya warna backgroundnya putih tulis putih ,19/10/2023,0.002535772,0
"Dapat wa ,suruh tukarkan poin di jam 11 ,begitu dibuka aplikasinya poinnya tidak ada,dan maaf ada gangguan.. makin parah banget...",1,0,dapat wa suruh tukar poin di jam begitu buka aplikasi poin tidak ada dan maaf ada ganggu makin parah banget ,11/11/2023,0.001800188,0
Signal tidak bagus,1,0,signal tidak bagus,13/02/2024,0.8301581,1
"Teknisi sangat amat lambat dalam merespon trouble wifi yg ada, sudah 3 hari tidak kunjung datang",1,0,teknisi sangat amat lambat dalam merespon trouble wifi yang ada sudah hari tidak kunjung datang,31/01/2024,0.002143487,0
sedang,4,1,sedang,31/12/2023,0.5890207,1
Kurang nemuaskan. Tanggapan komplain lambat,5,0,kurang nemuaskan tanggap komplain lambat,05/12/2023,0.002937036,0
"kalau bisa itu sandi terserah yang makai,jangan disuruh gonta ganti,terlalu banyak mengingat sandi,kalian enak cuman merintah,aplikasi berat tampilan tok.",3,0,kalau bisa itu sandi serah yang maka jangan suruh gonta ganti terlalu banyak ingat sandi kalian enak cuman merintah aplikasi berat tampil tok ,05/02/2024,0.002731331,0
Ok,5,1,ok,25/01/2024,0.9959974,1
Informasi dan kecepatan adil,5,1,informasi dan cepat adil,06/02/2024,0.9996335,1
Nice new views,5,1,nice new views,23/10/2023,0.9976864,1
Internet stabil,5,1,internet stabil,16/12/2023,0.9948092,1
"Aplikasi ga jelas,niat ga buat aplikasi kalau ga niat hapus aja",1,0,aplikasi enggak jelas niat enggak buat aplikasi kalau enggak niat hapus saja,13/10/2023,0.001336587,0
Mantap,5,1,mantap,09/12/2023,0.9967573,1
"Sangat lemot ketika mau buat pengaduan. ketika pengaduan mau dikirim, timbul tulisan layanan di isolir dan disuruh membayar tagihan,padahal tagihan sudah terbayar. Hapus aja menu pengaduan, Klo tidak mau terima pengaduan dri konsumen.",1,0,sangat lemot ketika mau buat adu ketika adu mau kirim timbul tulis layan di isolir dan suruh bayar tagih padahal tagih sudah bayar hapus saja menu adu kalo tidak mau terima adu dari konsumen ,15/11/2023,0.001063364,0
Internet lemotnya minta ampun padahal pake lan...direstart melulu,1,0,internet lot minta ampun padahal pakai lan direstart melulu,26/11/2023,0.001727758,0
Susah masuk alasan kadaluarsa,3,0,susah masuk alas kadaluarsa,27/12/2023,0.002389523,0
oke BANGET!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,1,oke banget ,15/01/2024,0.99356145,1
Mantap,5,1,mantap,22/02/2024,0.9967573,1
"BUMN kok gini amat. Aplikasi kayak aplikasi murahan, tapi biaya pembuatan aplikasi ini pasti melebihi biaya aplikasi swasta, udah ga heran, semua di korup, keluar lah hasilnya yg begini, mau login aja pun gak bisa.",1,0,bumn kok begini amat aplikasi kayak aplikasi murah tapi biaya buat aplikasi ini pasti lebih biaya aplikasi swasta sudah enggak heran semua di korup keluar lah hasil yang begini mau login saja pun enggak bisa ,08/11/2023,0.000769906,0
"Login susah bgt, laporan buffering app nya, terus aj bermasalah sialan..",1,0,login susah banget lapor buffering ap nya terus saja masalah sial ,24/10/2023,0.00203161,0
Lemot,1,0,lemot,22/01/2024,0.061654147,0
Jos,4,1,jos,19/11/2023,0.9932814,1
"GK bisa melapor gangguan kayak dulu,paket 50 Mbps buat nonton YouTube aja lemot",1,0,enggak bisa lapor ganggu kayak dulu paket mbps buat tonton youtube saja lemot,22/10/2023,0.004106182,0
tagihannya kok tiba² naik pesat...?,1,0,tagih kok tiba naik pesat ,16/10/2023,0.01773011,0
Sering forclose,2,0,sering forclose,25/11/2023,0.054845233,0
Cepat penanganan masalah,4,1,cepat tangan masalah,15/02/2024,0.99687624,1
Okey banget,5,1,okey banget,26/10/2023,0.9751813,1
Sangat bermangfaat dan membantu,5,1,sangat bermangfaat dan bantu,05/01/2024,0.9982809,1
Penampilan menu menu di aplikasi my Indihome..agak sulit di dapatkan.. seperti menu cara mengetahui ada berapa HP yang terkoneksi ke internet wifi..dan bagaimana cara memutuskan internet nya,5,0,tampil menu menu di aplikasi my indihome agak sulit di dapat seperti menu cara tahu ada berapa hp yang koneksi ke internet wifi dan bagaimana cara putus internet nya,11/01/2024,0.049286645,0
Lawak..bintang berbicara,1,0,lawak bintang bicara,14/11/2023,0.28461733,0
mantap,5,1,mantap,27/10/2023,0.9967573,1
Keren,5,1,keren,05/02/2024,0.99530053,1
Mantap bermanfaat,5,1,mantap manfaat,08/02/2024,0.9991235,1
Lelet,1,0,lelet,27/09/2023,0.08640631,0
Ok,5,1,ok,20/02/2024,0.9959974,1
"Kacau setelah di update,loading teruss,sudah masuk malah keluar sendiri,",1,0,kacau telah di update loading terus sudah masuk malah keluar sendiri ,22/11/2023,0.001751224,0
Lebih simpel dan jelas,5,1,lebih simpel dan jelas,11/10/2023,0.95674056,1
"Pemakaian belum ada satu Minggu saya rasakan jaringan internet lancar dan stabil ,mudah mudahan kedepannya tetap lancar",5,1,pakai belum ada satu minggu saya rasa jaring internet lancar dan stabil mudah mudah depan tetap lancar,28/12/2023,0.5978438,1
Oke pokoknya,5,1,oke pokok,15/01/2024,0.9989654,1
masuk aplikasi sulit baget dah ampun,1,0,masuk aplikasi sulit banget deh ampun,24/11/2023,0.00491643,0
Good Aplikasi my indihpme,5,1,good aplikasi my indihpme,24/09/2023,0.9931805,1
