content,score,label,preprocessed_content
"Aplikasi nya sangat bagus,, memudahkan baik pelaporan atau perubahan paket kuota",5,1,aplikasi nya sangat bagus mudah baik lapor atau ubah paket kuota
dancok klo bikin aplikasi yg bener koplak,1,0,dancok kalo bikin aplikasi yang benar kocak
Sangat memuaskan dan sangat membantu,5,1,sangat muas dan sangat bantu
Mantap,5,1,mantap
Aplikasinya tolong di sesuaikan lg untuk Android versi terbaru. Karena dari Google ada peringatan bahwa aplikasi ini mungkin berhenti berfungsi di hp saya,3,0,aplikasi tolong di sesuai lagi untuk android versi baru karena dari google ada ingat bahwa aplikasi ini mungkin henti fungsi di hp saya
"Jaringan stabil, kecepatan pure sesuai pilihan. Mantabbb👍👍",5,1,jaring stabil cepat pure sesuai pilih mantab
"Sudah bayar ,melalalui tokopedia ,tiap tgl 20 ,tapi masih di isolir ,di anggap belum bayar tagihan",5,0,sudah bayar melalalui tokopedia tiap tanggal tapi masih di isolir di anggap belum bayar tagih
Good,5,1,good
Tidak masuk ke aplikasi selalu mental...,1,0,tidak masuk ke aplikasi selalu mental 
"Aplikasi gk berguna. Untuk masuk z gk bisa, g mana mau buat keluhan dll",1,0,aplikasi enggak guna untuk masuk saja enggak bisa enggak mana mau buat keluh dl
"Update aplikasi terus, menghabiskan memori Telpon,",3,0,update aplikasi terus habis memori telpon 
Mantap,5,1,mantap
setelah pembaruan aplikasi kok gak bisa log in ya baik pakai email maupun nomer hp,5,1,telah baru aplikasi kok enggak bisa log ini ya baik pakai email maupun nomer hp
"Update terbaru malah pembayaran baik kartu debit/kredit ditolak semua, bagian IT indihome perlu di reformasi agar aplikasi bisa digunakan normal.",1,0,update baru malah bayar baik kartu debit kredit tolak semua bagi itu indihome perlu di reformasi agar aplikasi bisa guna normal 
masih lambat & wifi.id Seamless sulit di akses.,1,0,masih lambat wifi id seamles sulit di akses 
Saya sudah berlangganan Indihome sudah sekitar 4thn. setiap ada kendala Indihome cepat respon dan di tangani oleh teknisi nya,1,1,saya sudah langgan indihome sudah sekitar tahun tiap ada kendala indihome cepat respon dan di tangan oleh teknisi nya
"Indihome udah terbukti internetnya.juga Teknisi indihome,teknisi super bukan kaleng"" Top dahhh",5,1,indihome sudah bukti internetnya juga teknisi indihome teknisi super bukan kaleng top dah
"Ini kenapaa yaa indihome ini saya sudah bayar tapi malah di isolir saya ngadu di apk ini malah di prosess teruss blum ada respon apa apaa, tolong dong ini saya sudah bayar lohh",2,0,ini kenapa ya indihome ini saya sudah bayar tapi malah di isolir saya adu di apk ini malah di proses terus belum ada respon apa apa tolong dong ini saya sudah bayar loh
Pengalaman yang menarik bersama myIndihome,5,1,alam yang tarik sama myindihome
Aplikasinya memudahkan pelanggan buat naik pitam,1,0,aplikasi mudah langgan buat naik pitam
Mantap,5,1,mantap
bagus,3,1,bagus
Bagus,5,1,bagus
masih bnyak bug,2,0,masih banyak bug
Internet stabil,5,1,internet stabil
Indihome emang boleh gitu indihome ya indihome ohh indihome alhamdulillah,1,0,indihome memang boleh begitu indihome ya indihome oh indihome alhamdulillah
KB hiook gunung Padang Cianjur Jawa Barat,5,1,kb hiook gunung padang cianjur jawa barat
Ga bisa login mau ngecek tagihan jadi ga bisa,1,0,enggak bisa login mau ecek tagih jadi enggak bisa
Lelet 🙏🙏,2,0,lelet 
susah log in,1,0,susah log ini
Karena untuk memperbaiki aja belum di lakukan sudah pengaduan tapi tidak ada tindakan soal nya membahayakan orang lain pengedara montor dan mobil apakah harus kejadian dulu biar di perbaiki,1,0,karena untuk baik saja belum di laku sudah adu tapi tidak ada tindak soal nya bahaya orang lain dara montor dan mobil apakah harus jadi dulu biar di baik
Semoga makin jaya dan lancar terus untuk koneksinya,5,1,moga makin jaya dan lancar terus untuk koneksi
Ok,4,1,ok
Jaringan lemot sekali jaringan ini. Speed mesti down kalo hujan. Bahkan aplikasi ini pun lemot sekali loadingnya,1,0,jaring lemot sekali jaring ini speed mesti down kalo hujan bahkan aplikasi ini pun lemot sekali loadingnya
"Mohon maaf nih, tapi aplikasi ini sering ""crash"" dan ini yang bilang langsung sistem dari HP saya. Jadi, sering2 update dan di fix aja sih kedepannya. Kalo misal udah konsisten dan gk sering2 ""crash"". Nanti ku ubah penilaiannya. Makasih",3,0,mohon maaf nih tapi aplikasi ini sering crash dan ini yang bilang langsung sistem dari hp saya jadi sering update dan di fix saja sih depan kalo misal sudah konsisten dan enggak sering crash nanti ku ubah nilai terima kasih
Lancar sesuai kebutuhan,5,1,lancar sesuai butuh
"Dengan berat hati saya bilang kalau rugi total, aplikasi lemot jaringan apalagi lebih lemot, mahal lagi, servicenya juga lemot pokoknya aduh sampai Ndak bisa ngomong dah,",1,0,dengan berat hati saya bilang kalau rugi total aplikasi lemot jaring apalagi lebih lemot mahal lagi servicenya juga lemot pokok aduh sampai indak bisa omong deh 
best,5,1,best
apk jelek bgd,1,0,apk jelek banget
point banyak tapi tidak pernah bisa ditukar dengan yang diinginkan,1,0,point banyak tapi tidak pernah bisa tukar dengan yang ingin
Gk niat ngadain undian masa tukar poin sering macet terutama poin bwt hadiah mobil gk bisa di tukar...,3,0,enggak niat ada undi masa tukar poin sering macet utama poin buat hadiah mobil enggak bisa di tukar 
"Aplikasi yang paling lelet dan sering error, ampun lha pokoknya",1,0,aplikasi yang paling lelet dan sering error ampun lah pokok
"Meskipun mahal, tapi puas sama jaringan yang stabil, jarang banget ada ganggu",5,1,meski mahal tapi puas sama jaring yang stabil jarang banget ada ganggu
Mohon di perbaiki kualitas jaringannya ya udah kek eeq nih jaringannya,1,0,mohon di baik kualitas jaring ya sudah kayak eeq nih jaring
"Layanan Indihome buruk, tidak membantu sama sekali dengan aplikasi ini. Jaringan buruk, kami tetap bayar terus giliran terlambat langsung diisolir, sudah dibayar malah tetap diisolir sampai pembayaran bulan berikutnya tetap diisolir..kami bayar untuk biaya layanan buruk dari Indihome..parah",1,0,layan indihome buruk tidak bantu sama sekali dengan aplikasi ini jaring buruk kami tetap bayar terus gilir lambat langsung isolir sudah bayar malah tetap isolir sampai bayar bulan ikut tetap isolir kami bayar untuk biaya layan buruk dari indihome parah
My IndiHome memang terbaik banyak fitur-fitur yang sangat membantu dan mempermudah,5,1,my indihome memang baik banyak fitur fitur yang sangat bantu dan mudah
Lemot banget,1,0,lemot banget
"Sementara msh oke lah,cuma fup nya yg kadang bikin pusing",5,1,sementara masih oke lah cuma fup nya yang kadang bikin pusing
Woy aplikasi mu lemot banget... G usah buay survei segala lah... Lemot polll dan Aplikasi sering error padah gunanya cm buat lihat sudah terbayar apa blum pmbayaran... klo g gt quota intrnet tinggal brapa... guna cm itu aja sering error...🤦🤦🤦🤦,1,0,woy aplikasi mu lemot banget enggak usah buay survei segala lah lemot pol dan aplikasi sering error padah guna cuma buat lihat sudah bayar apa belum pmbayaran kalo enggak begitu quota intrnet tinggal berapa guna cuma itu saja sering error 
Susah betul mau lapor gangguan 👎,1,0,susah betul mau lapor ganggu 
"Super lemoott aplikasinya.,",1,0,super lemoot aplikasi 
Aplikasi Tidak Bisa Dibuka.. tolong diperbaiki,1,0,aplikasi tidak bisa buka tolong baik
pelayanan lelet kek jaringannya,1,0,layan lelet kayak jaring
"buat apa update kalau masih banyak bug, login sulit, fingerprint bolak balik ga guna",1,0,buat apa update kalau masih banyak bug login sulit fingerprint bolak balik enggak guna
"Apk my indihome macet macet melulu, IT nya telkom gimana ini? Mau tukar point aja susah. Setengah ga ikhlas, wkwkwkw",1,0,apk my indihome macet macet melulu itu nya telkom bagaimana ini mau tukar point saja susah tengah enggak ikhlas wkwkwkw
"Berkat Aplikasi MyIndiHome semua aktivitas mengenai akun Indihome saya menjadi sangat mudah, baik layanan Pembayaran, laporan gangguan, penukaran Poin maupun pembelian/upgrade paket menarik yang ditawarkan. Aplikasinya selalu Update dan interface nya semakin menyenangkan. Sukses dan selalu menjadi lebih baik lagi.",5,1,berkat aplikasi myindihome semua aktivitas kena akun indihome saya jadi sangat mudah baik layan bayar lapor ganggu tukar poin maupun beli upgrade paket tarik yang tawar aplikasi selalu update dan interface nya makin senang sukses dan selalu jadi lebih baik lagi 
"Tolonglah ini mau login gak bisa ganti password tulisannya pernah di gunakan, padahal password ngawur juga gak bisa.",1,0,tolong ini mau login enggak bisa ganti password tulis pernah di guna padahal password ngawur juga enggak bisa 
TAMBAH KAN FITURE TUKAR POIN UNDIAN MASAL,1,0,tambah kan fiture tukar poin undi masal
Aplikasi ny lemot banget berat ..,1,0,aplikasi nya lemot banget berat 
Oc lah adanya,5,1,oc lah ada
"aplikasinya makin burik lola banget, mau upgrade lewat aplikasi verifikasi WA gak masuk2, ga jelas banget ini apk lama2. bikin emosi aja ini apk",1,0,aplikasi makin burik lola banget mau upgrade lewat aplikasi verifikasi wa enggak masuk enggak jelas banget ini apk lama bikin emosi saja ini apk
Trims,5,1,terima kasih
Mantaap indihome....pertahankan kestabilannya,5,1,mantap indihome tahan stabil
Aplikasi error keluar terus makin parahhhhhhhhh.......,1,0,aplikasi error keluar terus makin parah 
Oke,5,1,oke
Memudahkan,5,1,mudah
Mantapppp,5,1,mantap
Jika ada masalah walaupun jarang tapi teknisi responnya cepat dan mslh slsi.,5,1,jika ada masalah walaupun jarang tapi teknisi responnya cepat dan masalah slsi 
kenapa ini setelah updte lemot amat setiap buka loding nya lama banget,5,0,kenapa ini telah updte lemot amat tiap buka loding nya lama banget
Beritahu saya untuk berhenti berlangganan,5,1,beritahu saya untuk henti langgan
Puas menggunakan indihome👍,5,1,puas guna indihome
mantap,5,1,mantap
The best isp in Indonesia,5,1,the best isp ini indonesia
BAGUS,5,1,bagus
"reload terus,, kode konfirmasi lambat.. apk sia-sia",1,0,reload terus kode konfirmasi lambat apk sia sia
Jangan ada internet mati,5,1,jangan ada internet mati
"Pelayanan jelek, terlalu diputar putarkan saat akan melakukan keluhan gangguan",1,0,layan jelek terlalu putar putar saat akan laku keluh ganggu
WOI BENERIN LAH JARINGAN LO... MAU PROTES AJA APLIKASINYA AJA NGECRASH MULU.... SENGAJA ATAU GIMANA? BAYAR TIAP BULAN PERCUMA,1,0,woi benerin lah jaring lo mau protes saja aplikasi saja ngecrash mulu sengaja atau bagaimana bayar tiap bulan percuma
"Memang benar aplikasi yang dikelolah BUMN selalu tidak lebih baik dari pada swasta, aplikasi tidak berjalan dengan baik",1,0,memang benar aplikasi yang dikelolah bumn selalu tidak lebih baik dari pada swasta aplikasi tidak jalan dengan baik
tingkat kan terus,5,1,tingkat kan terus
Layanan memuaskan,5,1,layan muas
Bagus,5,1,bagus
Aplikasi yg sama sekali ngga membantu buat laporan atau keluhan. Ada gangguan udh lapor tapi gak upgrade sama sekali sampe 3hari nunggu teknisi. Dari operator service juga penanganan Indihome jelek pokonya gak gercep kalo ada kerusakan lelet,1,0,aplikasi yang sama sekali enggak bantu buat lapor atau keluh ada ganggu sudah lapor tapi enggak upgrade sama sekali sampai hari tunggu teknisi dari operator service juga tangan indihome jelek pokok enggak gercep kalo ada rusa lelet
banyak error bug,1,0,banyak error bug
Puas segala layanan,5,1,puas segala layan
"Emang boleh....tukar poin undian dapetnya zonk dan parahnya lg poin yg udah ditukar jadi voucher undian lenyap entah kmn gmn mo pakenya coba⁉️ ""KALAU NGGAK NIAT NGASIH REWARD NGGAK USAH PAKAI GIMICK² SAMPAH DEH‼️""",1,0,memang boleh tukar poin undi dapetnya zonk dan parah lagi poin yang sudah tukar jadi voucher undi lenyap entah mana bagaimana mau pakenya coba kalau enggak niat asih reward enggak usah pakai gimick sampah deh
Makin keren aplikasi nya,5,1,makin keren aplikasi nya
Sangat membantu pada saat ngk eror tapi lebih banyak erronya,4,0,sangat bantu pada saat enggak eror tapi lebih banyak erronya
Apk lemot kaya signalnya... yang kerja pada goblog,1,0,apk lemot kayak signalnya yang kerja pada goblog
Masukan buat Telkom tolong di perbaiki buat buka aplikasi YouTube susah banget,3,0,masuk buat telkom tolong di baik buat buka aplikasi youtube susah banget
Istimewa,5,1,istimewa
Bintang 1 karena waktu mau login gak dapat pesan SMS. Kan ada email kenapa harus lewat SMS???,1,0,bintang karena waktu mau login enggak dapat pesan sms kan ada email kenapa harus lewat sms 
Bagus,5,1,bagus
Memudahkan,5,1,mudah
mantap,5,1,mantap
"Fitur""nya simple mudah dipahami, sering ada promo juga",5,1,fitur nya simple mudah paham sering ada promo juga
"Opsi ""pengaturan wifi"" ga bisa diakses Jadi ga bisa liat siapa aja yg terhubung Tolong solusinya",2,0,opsi atur wifi enggak bisa akses jadi enggak bisa lihat siapa saja yang hubung tolong solusi
Mudah penggunaannya,5,1,mudah guna
Mantap,5,1,mantap
"saya mau ganti yang 220k kalau gak bisa mending di putus deh dari bulan kapan katanya di ganti Tapi gak di ganti"" yang jelas dunx saya merasa keberatan Anjir 330k sebulan sedangakan gue beli Kuota bertiga cuma 200k malah gak Sampe anjir Jangan lah memperbodo saya. Di komplen gak mau tapi beberapa bulan lalu manis banget bilang nya mau di ganti yang 220k gak jelas",1,0,saya mau ganti yang ke kalau enggak bisa mending di putus deh dari bulan kapan kata di ganti tapi enggak di ganti yang jelas dunx saya rasa berat anjir ke bulan sedangakan gue beli kuota tiga cuma ke malah enggak sampai anjir jangan lah memperbodo saya di komplen enggak mau tapi beberapa bulan lalu manis banget bilang nya mau di ganti yang ke enggak jelas
Terimakasih indihome atas jaringannya saya bisa belajar,5,1,terimakasih indihome atas jaring saya bisa ajar
Makin sini makin jelek jaringan,1,0,makin sini makin jelek jaring
internett stabil,5,1,internet stabil
Kok gak bisa masuk?,1,0,kok enggak bisa masuk 
"Sekarang lemot parahh, dikit dikit loading buat install apk lama banget",1,0,sekarang lemot parah dikit dikit loading buat instal apk lama banget
Hanya saja kadang sinyalnya lelet apa lagi kalau posisi rumah saya terjepit oleh rumah tetangga yang tinggi-tinggi dan beton jaringannya kurang maksimal min Maaf ya klo bisa di prioritaskan kan pengguna ya min,3,0,hanya saja kadang sinyal lelet apa lagi kalau posisi rumah saya jepit oleh rumah tetangga yang tinggi tinggi dan beton jaring kurang maksimal min maaf ya kalo bisa di prioritas kan guna ya min
Rekomendasi utk informasi satu pintu terutama akses ke sistim yg memadai baik utk buat laporan gangguan.,5,1,rekomendasi untuk informasi satu pintu utama akses ke sistim yang pada baik untuk buat lapor ganggu 
Aplikasi gagal lemot susah login crash,1,0,aplikasi gagal lemot susah login crash
Bagus Indihome. Tp kalau hujan kadang jaringan lemot. Di perbaiki lg,5,1,bagus indihome tapi kalau hujan kadang jaring lemot di baik lagi
Terima kasih,5,1,terima kasih
"Ini gw mau verifikasi email, tapi gimana kalo tiap mau verifikasi email aplikasinya keluar sendiri terus ????? Terus mau bayar langganan pasti aja ada ""Maaf kami sedang melakukan pengoptimalan"" halaah udah berapa kali kayak gitu",1,0,ini gue mau verifikasi email tapi bagaimana kalo tiap mau verifikasi email aplikasi keluar sendiri terus terus mau bayar langgan pasti saja ada maaf kami sedang laku optimal halaah sudah berapa kali kayak begitu
Pelayanan sangat cepat,5,1,layan sangat cepat
"Aplikasi setiap waktu mesti msukkan verifikasi, sudah ikuti prosedur dikatakan sdh pernah pakai password sebelumnya. kan aneh sy buat baru yg betul tidk terpakai dikatakan password sudah terpakai.... ini aplikasi bukannya memudahkan justru menyusahkan",1,0,aplikasi tiap waktu mesti msukkan verifikasi sudah ikut prosedur kata sudah pernah pakai password belum kan aneh saya buat baru yang betul tidk pakai kata password sudah pakai ini aplikasi bukan mudah justru susah
sering lelet,3,0,sering lelet
Bagus,5,1,bagus
Sering eror,5,0,sering eror
Internet stabil,5,1,internet stabil
Tidak bisa masuk aplikasi,1,0,tidak bisa masuk aplikasi
"Lengkapi dengan menu downgrade paket dong, jangan upgrade aja yg ada, biar lengkap.",2,0,lengkap dengan menu downgrade paket dong jangan upgrade saja yang ada biar lengkap 
"Mengecewakan sekali akhir² ini. Koneksi internet tiba² terputus untuk game. Yang awalnya tagihan tanggal 5 sudah muncul di Aplikasi, Tiba² saja tidak tertera... Ketika melakukan pembayaran memakai E-commerce ""terjadi kesalahan saat proses id."" Lupa bayar dari tanggal 5 gara² gangguan tersebut. Semalem mau bayar lagi masih tetep sama. Sekarang sudah telat 1x6 jam, otomatis terhitung denda. Maunya apa sih???",1,0,kecewa sekali akhir ini koneksi internet tiba putus untuk game yang awal tagih tanggal sudah muncul di aplikasi tiba saja tidak tera ketika laku bayar pakai e commerce jadi salah saat proses id  lupa bayar dari tanggal gara ganggu sebut semalem mau bayar lagi masih tetap sama sekarang sudah telat kali jam otomatis hitung denda mau apa sih 
Lemot masuk susah...buk apliaksi kluwer2 ajeee,2,0,lemot masuk susah buk apliaksi kluwer aje
Internet Lancar jarang ada Gangguan👍👍👍,5,1,internet lancar jarang ada ganggu
Mantap,5,1,mantap
Tidak bisa memasukkan nomor layanan indihome saya ke aplikasinya,2,0,tidak bisa masuk nomor layan indihome saya ke aplikasi
Recommended gays,5,1,recommended gays
"Pelayanan sangat lambat, komplen dari hari sabtu tapi petugas ga ada yg datang kerumah sampai sekarang. Kecewa banget👹",1,0,layan sangat lambat komplen dari hari sabtu tapi tugas enggak ada yang datang rumah sampai sekarang kecewa banget
Update malah sering force close,3,0,update malah sering force close
Oke,4,1,oke
Mantab pelayanan prima,5,1,mantab layan prima
Kebanyakan gimmick bikin aplikasi. Mau login aja susah,1,0,banyak gimmick bikin aplikasi mau login saja susah
Indihome si the bsst,5,1,indihome sih the bsst
kurang puas karena aplikasinya lambat,2,0,kurang puas karena aplikasi lambat
"Sudah sebulan, aplikasi tidak bisa dibuka, kenapa tidak ada perbaikan? Aneh, di ulasan ini kan tujuan memang untuk menyampaikan kendala dan memberikan review, tapi kenapa malah diarahkan ke platform lain",1,0,sudah bulan aplikasi tidak bisa buka kenapa tidak ada baik aneh di ulas ini kan tuju memang untuk sampai kendala dan beri review tapi kenapa malah arah ke platform lain
"lemot sekali aplikasinya, padahal pakai jaringannya indihome sendiri, di tambah kecepatan internetnya tidak stabil, kalah sama paket data",1,0,lemot sekali aplikasi padahal pakai jaring indihome sendiri di tambah cepat internetnya tidak stabil kalah sama paket data
Sangat membantu,5,1,sangat bantu
Bagus,5,1,bagus
ok,5,1,ok
Very Good,5,1,very good
"Tolong diperbaiki lagi aplikasinya masih banyak bug, loading lama sekali",1,0,tolong baik lagi aplikasi masih banyak bug loading lama sekali
"Bagus, stabil",5,1,bagus stabil
semoga tidak sering ada gangguan.,5,1,moga tidak sering ada ganggu 
Aplikasi nya sangat membantu. .walau versi awal banyak kekurangan dan sering error....setelah laporan gangguan langsung di tanggapi dengan cepat...teknisi pun datang walau sudah jam 6 sore...salut untuk servis indihome,4,1,aplikasi nya sangat bantu walau versi awal banyak kurang dan sering error telah lapor ganggu langsung di tanggap dengan cepat teknisi pun datang walau sudah jam sore salut untuk servis indihome
Aplikasi sering terhenti,3,0,aplikasi sering henti
"Tolong di perbaiki lagi dong aplikasi ini, susah banget buat login nya, disuruh tarik layar ke bawah, padahal ga bisa hedeh",2,0,tolong di baik lagi dong aplikasi ini susah banget buat login nya suruh tarik layar ke bawah padahal enggak bisa hedeh
"Tolong diperbaiki kualitas pelayanannya. Ini di kasih tawaran naik paket ke 50 mbps. Setelah di naikkan malahan tambah lambat, tdk sampai setengah nya 25 mbps. Mana aplikasi My IndiHomenya tidak bisa dibuka",1,0,tolong baik kualitas layan ini di kasih tawar naik paket ke mbps telah di naik malah tambah lambat tidak sampai tengah nya mbps mana aplikasi my indihomenya tidak bisa buka
Kenapa makin kesini semakin buruk aplikasinya? Setelah di Update kok semakin buruk? Di buka cuma muter² aja sempakk!!!,1,0,kenapa makin kesini makin buruk aplikasi telah di update kok makin buruk di buka cuma muter saja sempak 
"Sangat baik pelayanannya, segala.ditail riwayat tercantum secara akurat. Biasanya, setelah bayar enggak tau apakah sudah terkonfirmasi atau tidak. Kini saya tahu San tidak merasa was was lagi",5,1,sangat baik layan segala ditail riwayat cantum cara akurat biasa telah bayar enggak tau apakah sudah konfirmasi atau tidak kini saya tahu san tidak rasa was was lagi
"Suka banget pake apk ini, aman dan lebih mudah. Semoga terus lancar yaa🥰🥰🥰",5,1,suka banget pakai apk ini aman dan lebih mudah moga terus lancar ya
Keren,5,1,keren
Top,4,1,top
kwalitas bagus...namun ketika terlambat bayar...begitu selesai bayar koneksi tdk bisa langsung..,5,1,kwalitas bagus namun ketika lambat bayar begitu selesai bayar koneksi tidak bisa langsung 
"Sinyal ANCUURRR.... Sudah banyak yg mengeluhkan, namun masih saja tidak dianggap.",1,0,sinyal ancuur sudah banyak yang keluh namun masih saja tidak anggap 
Ka tolong sistem respon nya d cepetin Saya daftar nya ke double karena keterlambatan sistem Mengirim pendaftarannya Memakai KTP yg sama lagi Yang 1 daftar d web indihome Yang 1 daftar d egent terdekat ke double jdinya,3,0,kak tolong sistem respon nya di cepetin saya daftar nya ke double karena lambat sistem kirim daftar pakai ktp yang sama lagi yang daftar di web indihome yang daftar di egent dekat ke double jdinya
Jaringan ok,5,1,jaring ok
Ok,4,1,ok
Respon cepat,5,1,respon cepat
Memuaskan,5,1,muas
gmn caranya masuk.. stuck di halaman ketik email/no hp.. jawaban apaan ini hancur..,1,0,bagaimana cara masuk stuck di halaman ketik email no hp jawab apa ini hancur 
Sip dah,4,1,sip deh
Jos,5,1,jos
"Aplikasi paling tidak ada fungsi, mau cek tagihan , riwayat tagihan tapi gak ada, malah di alihkan ke pembelian paket.",1,0,aplikasi paling tidak ada fungsi mau cek tagih riwayat tagih tapi enggak ada malah di alih ke beli paket 
Mantap jaringannya....,5,1,mantap jaring 
Koneksi lancar & stabil,5,1,koneksi lancar stabil
ok,5,1,ok
Cepat internet nya sangat baik,5,1,cepat internet nya sangat baik
Bagus,5,1,bagus
"Aplikasi berat bgt bro, kek aplikasi apa aja. Baru di buka Loading nya nya gak kelar2, kalah kali Loading nya mobile legends. Gw pake device huawei nova 5t. Tolong perbaiki. Aplikasi gini aja berat amat. Mau buka juga males broo. Jadi gak guna lo buat aplikasi",1,0,aplikasi berat banget bro kayak aplikasi apa saja baru di buka loading nya nya enggak kelar kalah kali loading nya mobile legends gue pakai device huawei nova t tolong baik aplikasi begini saja berat amat mau buka juga malas bro jadi enggak guna lo buat aplikasi
"Aplikasi nya parah lemot amat, mau pak internet speed tinggi sama aja sering gagal tukar poin",1,0,aplikasi nya parah lemot amat mau pak internet speed tinggi sama saja sering gagal tukar poin
"Terimakasih aplikasinya sangat membantu sekalii,saya suka dengan aplikasi nyaa",5,1,terimakasih aplikasi sangat bantu sekali saya suka dengan aplikasi nya
good,5,1,good
Sangat berguna sekali,5,1,sangat guna sekali
Mantap,5,1,mantap
Mantap,5,1,mantap
Jaringan stabil,5,1,jaring stabil
"Ini aplikasi makin sini makin lag parah, mau bayar juga susah update bukannya bagus malah kacau",1,0,ini aplikasi makin sini makin lag parah mau bayar juga susah update bukan bagus malah kacau
"Tolong perbaiki fitur selfcare dan speed test yang error! Selain itu, dibagian Tagihan Internet tertulis ""Terbayar (Rp.0)"" dan bertanda ceklist hijau padahal saya belum melakukan pembayaran!",1,0,tolong baik fitur selfcare dan speed test yang error selain itu bagi tagih internet tulis bayar rp  dan tanda ceklis hijau padahal saya belum laku bayar 
Sangat memuaskan,5,1,sangat muas
Siap..mantap,5,1,siap mantap
Cepat tepat sigap,5,1,cepat tepat sigap
Penyelesaian masalah yg cepat dan tanggap..pertahankan,5,1,selesai masalah yang cepat dan tanggap tahan
"Aplikasi Myindihome Loading terus, tiap mau laporan gangguan selalu ada notif ""Mohon maaf kami sedang melakukan peningkatan layanan""... Tolong perbaiki aplikasi tingkatkan layanan... Bayar elit aplikasi sulit....",2,0,aplikasi myindihome loading terus tiap mau lapor ganggu selalu ada notif mohon maaf kami sedang laku tingkat layan tolong baik aplikasi tingkat layan bayar elit aplikasi sulit 
Speednya di perbaiki dong.. Mau laporan lewat aplikasi gak bisa.. Sudah mencoba sabar selama seminggu ini.. Mana kerja butuh internet speed kenceng.,1,0,speednya di baik dong mau lapor lewat aplikasi enggak bisa sudah coba sabar lama minggu ini mana kerja butuh internet speed kencang 
Selama 12 bulan ini lancar stabil jaringan oke Pelayanan bagus Saya pindah alamat wifi juga prosesnya cepet Dari saya sih aman,4,1,lama bulan ini lancar stabil jaring oke layan bagus saya pindah alamat wifi juga proses cepat dari saya sih aman
"Kenapa saya tidak bisa masuk aplikasi indihome, saya berlangganan sudah sejak 5thn yg lalu",2,0,kenapa saya tidak bisa masuk aplikasi indihome saya langgan sudah sejak tahun yang lalu
Good app👍🏼👍🏼🤩,5,1,good ap
Semoga lebih bagus lagi,5,1,moga lebih bagus lagi
"Mau tuker poin susah banget deh,aplikasinya eror terus",1,0,mau tuker poin susah banget deh aplikasi eror terus
"Di buka kok loading terus iya,lama sekali nunggu utk bisa ke menu",1,0,di buka kok loading terus iya lama sekali tunggu untuk bisa ke menu
Oke sekarang kita sudah bergabung dan berlangganan di Indihome ini muda-mudahan Indihome selalu yang terbaik dan bisa membantu orang didesa terpencil,5,1,oke sekarang kita sudah gabung dan langgan di indihome ini muda mudah indihome selalu yang baik dan bisa bantu orang desa pencil
